target_uid,name,mandate_start,mandate_end,sycomore_fid,source_url,retrieved
PA719404,Didier Le Gac,2024-07-08,,19241,https://www2.assemblee-nationale.fr/sycomore/fiche/19241,2026-09-13
PA719412,Sandrine Le Feur,2024-07-08,,19240,https://www2.assemblee-nationale.fr/sycomore/fiche/19240,2026-09-13
PA719436,Nicolas Meizonnet,2024-07-01,,19519,https://www2.assemblee-nationale.fr/sycomore/fiche/19519,2026-09-13
PA719472,Jean-René Cazeneuve,2024-07-08,,19080,https://www2.assemblee-nationale.fr/sycomore/fiche/19080,2026-09-13
PA719512,Corinne Vignon,2024-07-08,,19420,https://www2.assemblee-nationale.fr/sycomore/fiche/19420,2026-09-13
PA719528,Jean-François Portarrieu,2024-07-08,,19336,https://www2.assemblee-nationale.fr/sycomore/fiche/19336,2026-09-13
PA719550,Liliana Tanguy,2024-07-08,,19390,https://www2.assemblee-nationale.fr/sycomore/fiche/19390,2026-09-13
PA719558,Erwan Balanant,2024-07-08,,19023,https://www2.assemblee-nationale.fr/sycomore/fiche/19023,2026-09-13
PA719578,Loïc Prud'homme,2024-07-08,,19342,https://www2.assemblee-nationale.fr/sycomore/fiche/19342,2026-09-13
PA719632,Sophie Panonacle,2024-07-08,,19312,https://www2.assemblee-nationale.fr/sycomore/fiche/19312,2026-09-13
PA719640,Sophie Mette,2024-07-08,,19282,https://www2.assemblee-nationale.fr/sycomore/fiche/19282,2026-09-13
PA719756,Christine Le Nabour,2024-07-08,,19094,https://www2.assemblee-nationale.fr/sycomore/fiche/19094,2026-09-13
PA719778,François Jolivet,2024-07-08,,19203,https://www2.assemblee-nationale.fr/sycomore/fiche/19203,2026-09-13
PA719798,Daniel Labaronne,2024-07-08,,19220,https://www2.assemblee-nationale.fr/sycomore/fiche/19220,2026-09-13
PA719822,Sabine Thillaye,2024-07-08,,19397,https://www2.assemblee-nationale.fr/sycomore/fiche/19397,2026-09-13
PA719890,Danielle Brulebois,2024-07-08,,19064,https://www2.assemblee-nationale.fr/sycomore/fiche/19064,2026-09-13
PA719914,Geneviève Darrieussecq,2024-07-08,2024-10-21,19108,https://www2.assemblee-nationale.fr/sycomore/fiche/19108,2026-09-13
PA719914,Geneviève Darrieussecq,2025-01-24,,19108,https://www2.assemblee-nationale.fr/sycomore/fiche/19108,2026-09-13
PA719922,Lionel Causse,2024-07-08,,19077,https://www2.assemblee-nationale.fr/sycomore/fiche/19077,2026-09-13
PA719930,Boris Vallaud,2024-07-08,,19410,https://www2.assemblee-nationale.fr/sycomore/fiche/19410,2026-09-13
PA719938,Marc Fesneau,2024-07-08,,19152,https://www2.assemblee-nationale.fr/sycomore/fiche/19152,2026-09-13
