acteur_uid,prenom,nom,groupe_uid,groupe_libelle,groupe_libelle_abrev,aligned_votes,compared_votes,alignment_pct,refreshed_at
PA608826,Virginie,Duby-Muller,PO845425,Droite Républicaine,DR,201,236,85.2,2026-05-31T18:39:03.755143+00:00
PA841633,Peio,Dufau,PO845419,Socialistes et apparentés,SOC,459,514,89.3,2026-05-31T18:39:03.755143+00:00
PA840135,Alexandre,Dufosset,PO845401,Rassemblement National,RN,392,423,92.7,2026-05-31T18:39:03.755143+00:00
PA795200,Alma,Dufour,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,266,268,99.3,2026-05-31T18:39:03.755143+00:00
PA870009,Lionel,Duparay,PO845425,Droite Républicaine,DR,472,502,94.0,2026-05-31T18:39:03.755143+00:00
PA841351,Emmanuel,Duplessy,PO845439,Écologiste et Social,ECOS,316,331,95.5,2026-05-31T18:39:03.755143+00:00
PA643175,Stella,Dupont,GP_NI,Non inscrit,NI,450,553,81.4,2026-05-31T18:39:03.755143+00:00
PA842073,Gaëtan,Dussausaye,PO845401,Rassemblement National,RN,509,544,93.6,2026-05-31T18:39:03.755143+00:00
PA841761,Aurélien,Dutremble,PO845401,Rassemblement National,RN,343,348,98.6,2026-05-31T18:39:03.755143+00:00
PA794854,Iñaki,Echaniz,PO845419,Socialistes et apparentés,SOC,491,499,98.4,2026-05-31T18:39:03.755143+00:00
PA720390,Jérôme,End,,,,,,,
PA794718,Christine,Engrand,GP_NI,Non inscrit,NI,140,176,79.5,2026-05-31T18:39:03.755143+00:00
PA795844,Karen,Erodi,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,705,711,99.2,2026-05-31T18:39:03.755143+00:00
PA607193,Sophie,Errante,GP_NI,Non inscrit,NI,226,246,91.9,2026-05-31T18:39:03.755143+00:00
PA842195,Romain,Eskenazi,PO845419,Socialistes et apparentés,SOC,384,392,98.0,2026-05-31T18:39:03.755143+00:00
PA841621,Auguste,Evrard,PO845401,Rassemblement National,RN,291,294,99.0,2026-05-31T18:39:03.755143+00:00
PA794658,Philippe,Fait,PO845470,Horizons & Indépendants,HOR,224,296,75.7,2026-05-31T18:39:03.755143+00:00
PA793246,Frédéric,Falcon,PO845401,Rassemblement National,RN,398,402,99.0,2026-05-31T18:39:03.755143+00:00
PA721896,Elsa,Faucillon,PO845514,Gauche Démocrate et Républicaine,GDR,159,173,91.9,2026-05-31T18:39:03.755143+00:00
PA609332,Olivier,Faure,PO845419,Socialistes et apparentés,SOC,178,187,95.2,2026-05-31T18:39:03.755143+00:00
PA267042,Yannick,Favennec-Bécot,PO845485,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,218,238,91.6,2026-05-31T18:39:03.755143+00:00
PA840773,Olivier,Fayssat,PO872880,Union des droites pour la République,UDDPLR,638,642,99.4,2026-05-31T18:39:03.755143+00:00
PA841665,Denis,Fégné,PO845419,Socialistes et apparentés,SOC,593,609,97.4,2026-05-31T18:39:03.755143+00:00
PA841251,Mathilde,Feld,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,474,481,98.5,2026-05-31T18:39:03.755143+00:00
PA794786,Emmanuel,Fernandes,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,723,728,99.3,2026-05-31T18:39:03.755143+00:00
PA795884,Marc,Ferracci,PO845407,Ensemble pour la République,EPR,157,160,98.1,2026-05-31T18:39:03.755143+00:00
